hubspot_campaign,platform,mapped_campaign,confidence_score
P0_ABM_EIDWISH_GCC_EMAIL_NaveenNaitik25May2026,Smartlead,P0_ABM_B1_PRTNGamificationConsumerBrands_GCC_EMAIL-LI_NaveenRakesh_19MAY26,66%
P0_ABM_EIDWISH_GCC_EMAIL_NaveenNaitik25May2026,Smartlead,P0_ABM_B1_PRTNGamificationRETAIL_GCC_EMAIL-LI_NaveenRakesh_19MAY26,66%
P0_ABM_EIDWISH_GCC_EMAIL_NaveenNaitik25May2026,Smartlead,P0_ABM_B1_PRTNGamificationFINTECH_GCC_EMAIL-LI_NaveenRakesh_19MAY26,66%
P0_ABM_EIDWISH_GCC_EMAIL_NaveenNaitik25May2026,Smartlead,P0_ABM_B1_PRTNGamificationBFSI_GCC_EMAIL-LI_NaveenRakesh_19MAY26,67%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_INTENT-B_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_INTENT-B+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_INTENT-A_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_INTENT-A+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(D-NOTFOUND)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,69%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(RECOVERING)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,70%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(DEAD)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,70%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(GROWTH)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,66%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,Smartlead,P0_ABM_EMPULSHRBP_US_EMAIL-LI-CALL_MANOJNAITIK_11June2026,63%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,HeyReach,P0_ABM_INTENT-B_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,HeyReach,P0_ABM_INTENT-B+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,HeyReach,P0_ABM_INTENT-A_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,HeyReach,P0_ABM_INTENT-A+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,68%
P0_ABM_INTENT_PASTCUSTOMERS_GLOBAL_EMAIL-LI-CALL-WP_ManojNaitik01June2026,HeyReach,P0_ABM_PASTCUSTSALESNAV(GROWTH)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,66%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,Smartlead,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-TraditionalBank-faris_influencer,68%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,Smartlead,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-TraditionalBank-Imelda_dm,68%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,Smartlead,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-DigitalBank-faris_influencer,68%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,Smartlead,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-DigitalBank-Imelda_dm,69%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,HeyReach,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-TraditionalBank-faris_influencer,68%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,HeyReach,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-TraditionalBank-Imelda_dm,68%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,HeyReach,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-DigitalBank-faris_influencer,68%
P0_ABM_Outreach for Bank and non bank_INDO_EMAIL-LI_-FarisSanjeeda,HeyReach,P0_ABM_Bank_INDO_EMAIL-LI_FarisSanjeeda-DigitalBank-Imelda_dm,69%
P0_API_CUSTOMLOYALTY_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,Smartlead,P0_API_CUSTOMLOYALTY_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,95%
P0_API_CUSTOMLOYALTY_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,Smartlead,P0_API_CASHBACK_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,82%
P0_API_CUSTOMLOYALTY_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,HeyReach,P0_API_CUSTOMLOYALTY_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,95%
P0_API_CUSTOMLOYALTY_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,HeyReach,P0_API_CASHBACK_GLOBA_Email-LI-WP-Call_GauravSanj24Apr2026,82%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,95%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,73%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_API_EMPLOYEEREWARD&ENGAGEMENT_GLOBAL_EMAIL-LI-CALL_GauravNaitik02June2026_HR_A,70%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_API_EMPLOYEEREWARD&ENGAGEMENT_GLOBAL_EMAIL-LI-CALL_GauravNaitik02June2026_PRODUCT-B,70%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(D-NOTFOUND)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,61%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(RECOVERING)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,60%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(DEAD)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,61%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_INTENT-B_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_INTENT-B+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_INTENT-A_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,Smartlead,P0_ABM_INTENT-A+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,HeyReach,P0_ABM_INTENT-B_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,HeyReach,P0_ABM_INTENT-B+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,HeyReach,P0_ABM_INTENT-A_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,HeyReach,P0_ABM_INTENT-A+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_SUMITLICONN_S1S2S3_IND-UKEU-US_EMAIL-LI_AvipsaNaitik_25MAY26,Smartlead,P0_API_SUMITLICONN_S1_IND-UKEU-US_LI-EMAIL_AvipsaNaitik_25MAY26- A,85%
P0_API_SUMITLICONN_S1S2S3_IND-UKEU-US_EMAIL-LI_AvipsaNaitik_25MAY26,Smartlead,P0_API_SUMITLICONN_S3_IND-UKEU-US_LI-EMAIL_AvipsaNaitik_25MAY26- B,85%
P0_API_SUMITLICONN_S1S2S3_IND-UKEU-US_EMAIL-LI_AvipsaNaitik_25MAY26,Smartlead,P0_API_SUMITLICONN_S2_IND-UKEU-US_LI-EMAIL_AvipsaNaitik_25MAY26 - C,85%
P0_API_SURVEYPLATFORMS_GLOBAL_EMAIL_naitik-gaurav_21MAY26,Smartlead,P0_API_SURVEYPLATFORMS_GLOBAL_EMAIL_naitik-gaurav_21MAY26,95%
P0_API_SURVEYPLATFORMS_GLOBAL_EMAIL_naitik-gaurav_21MAY26,HeyReach,P0_API_SURVEYPLATFORMS_GLOBAL_EMAIL_naitik-gaurav_21MAY26,95%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,95%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_API_LOYALTY_GLOBAL_EMAIL-LI-CALL_AkshatNaitik28May2026,73%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_API_EMPLOYEEREWARD&ENGAGEMENT_GLOBAL_EMAIL-LI-CALL_GauravNaitik02June2026_HR_A,73%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_API_EMPLOYEEREWARD&ENGAGEMENT_GLOBAL_EMAIL-LI-CALL_GauravNaitik02June2026_PRODUCT-B,73%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(D-NOTFOUND)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,61%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(RECOVERING)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,61%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(DEAD)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,62%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_PASTCUSTSALESNAV(GROWTH)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,60%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_INTENT-B_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_INTENT-B+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_INTENT-A_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,Smartlead,P0_ABM_INTENT-A+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,HeyReach,P0_ABM_PASTCUSTSALESNAV(GROWTH)_GLOBAL_EMAIL-LI-CALL_ManojNaitik02June2026,60%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,HeyReach,P0_ABM_INTENT-B_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,HeyReach,P0_ABM_INTENT-B+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,HeyReach,P0_ABM_INTENT-A_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_API_TASKBASEREWARD_GLOBAL_EMAIL-LI-CALL_AkshatNaitik27May2026,HeyReach,P0_ABM_INTENT-A+_LIVISIT-BUYER-HC50_GLOBAL_EMAIL-LI-CALL_ManojNaitik03June2026,66%
P0_Critical_Event_PreEvent_US_LOYALTYCONNECT_Email_Abhi_28April2026,Smartlead,P0_Critical_Event_PreEvent_US_LOYALTYCONNECT_Email_AbhiShameelSanjeeda_28April2026,82%
P0_Event_PostEvent_Quirks_LI_US_ShameelMahima_30Apr26,Smartlead,P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,60%
P0_Event_PostEvent_Quirks_LI_US_ShameelMahima_30Apr26,Smartlead,P0_Event_UnLeashEvent_PostEvent_US_ShameelMahima_6May26,63%
P0_Event_PostEvent_Quirks_LI_US_ShameelMahima_30Apr26,Smartlead,P0_Events_HRTransformSpeakersList_PostEvent_US_ShameelMahima_6May26,70%
P0_Event_PostEvent_Quirks_LI_US_ShameelMahima_30Apr26,HeyReach,P0_Event_PostEvent_Quirks_LI_US_ShameelMahima_30Apr26,95%
P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,Smartlead,P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,95%
P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,Smartlead,P0_Event_UnLeashEvent_PostEvent_US_ShameelMahima_6May26,71%
P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,Smartlead,P0_Events_HRTrasnformBoothLeads_PostEvent_US_ShameelMahima_6May26,66%
P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,Smartlead,P0_Events_CHROTransformational_PostEvent_US_ShameelMahima_6May26,66%
P0_Event_PostEvent_World AtWork_US_ShameelMahima_30Apr26,Smartlead,P0_Events_HRTransformSpeakersList_PostEvent_US_ShameelMahima_6May26,66%
"P0_EVENTS_NAA - Apartmentalize - New Orleans, LA - 6/17/2026_USA_GaneshNaitik26June2026",Smartlead,"P0_EVENTS_NAA - Apartmentalize - New Orleans, LA - 6/17/2026_USA_GaneshNaitik26June2026",95%
P0_EVNT_CarrotsStakesSeattle_LI_US_ShameelRakesh_14MAY2026,HeyReach,P0_EVNT_CarrotsStakesSeattle_LI_US_ShameelRakesh_14MAY2026  ,95%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,95%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,77%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,74%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,78%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,64%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RealEstateHospitality_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_EnergyIndustrials_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_13MAY2026,64%
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_12MAY2026,65%
