Name,Website,Category,Products,Employees,Revenue,Funding,Region,Status,AI Innovator,Recent Funding,Founded,HQ,Threat,Notes,
Allbound,https://allbound.com,Channel Incentives,Compass,51-200,—,$8.98M,USA,Active,No,,2014,USA,Medium,Channel partner & agent incentives.,
Alleo,https://www.alleo.nl,Benefits/Perks,Empuls,51-200,—,$8.47M,Europe,Active,No,,2021,Netherlands,Low,Benefits & perks. Netherlands.,
Alpine IQ,https://alpineiq.com,Loyalty/CRM,Loyalife,51-200,$11.6M,$653K,USA,Active,Yes,,2019,USA,Low,Customer loyalty for retail & eComm.,
Alyce,https://www.alyce.com,Corp Gifting,Plum,51-200,$19.4M,$48.4M,USA,Acquired,Yes,,2015,USA,Low,Acquired by Sendoso 2023. AI gifting.,
Amalia,https://www.amalia.io,Sales Commission,Compass,11-50,—,—,Europe,Active,Yes,,2020,France,Low,AI sales commission management. EU.,
Amara,https://amara.ai,Surveys,Empuls,11-50,—,$70K,India,Active,No,,2016,India,Low,Employee surveys. India-focused.,
Ambition,https://ambition.com,Sales Gamification,Compass,51-200,$10.9M,$24M,USA,Active,No,,2013,USA,Medium,Sales performance & gamification.,
Anaplan,https://www.anaplan.com,Sales Planning,Compass,1001-5000,$300M,$308M,Global,Active,Yes,,2006,USA,Medium,Connected planning incl. territory & quota.,
Andopen,https://andopen.co,Swag & Merch,Plum,51-200,$12.3M,$33.2M,Europe,Active,No,,2017,Ireland,Low,On-demand branded swag & merchandise.,
Annex Cloud,https://www.annexcloud.com,Loyalty Platform,Loyalife,201-500,$43.7M,—,Global,Active,No,,2010,USA,High,Enterprise loyalty & referral marketing.,
Antavo,https://antavo.com,AI Loyalty,Loyalife,51-200,$13.6M,$10M,Global,Active,Yes,,2011,UK,High,AI loyalty engine. Forrester Wave Leader.,
Apex Loyalty,https://www.apexloyalty.com,Loyalife,,51-200,$507.5K,—,Loyalty & Rewards,USA,No,Loyalty and rewards programs. US market.,2015,USA,Low,,
Applaud HR,https://www.applaudhr.com,Employee Experience,Empuls,51-200,$1.52M,—,Europe,Active,No,,2008,UK,Low,Employee experience & HCM platform.,
Applauz,https://applauzrecognition.com,Employee RnR,Empuls,11-50,—,—,Canada,Active,No,,2017,Canada,Low,"Recognition, incentives & rewards.",
Appy Reward,http://app.appyreward.com,Corp Gifting,Plum,2-10,—,$60K,USA,Inactive,No,,2015,USA,Low,Appears inactive / pivoted.,
Arcade.co,https://www.arcade.co,Compass,,11-50,—,—,Sales Gamification,USA,Yes,AI-powered sales gamification & incentive platform.,2021,USA,Medium,,
Ascenda,https://www.ascenda.com,Loyalty Mgmt,Loyalife,201-500,—,—,Global,Active,Yes,,2014,Singapore,High,Global loyalty for banks & fintechs.,
Atmax,https://atmax.co,Compass,,11-50,$44.7K,—,Sales Incentives,India,No,Sales incentive & channel management. India.,2018,India,Low,,
Augeo,https://www.augeomarketing.com,All Rewards,"Plum,Empuls,Compass",501-1000,$25M,—,USA,Active,No,,1999,USA,Medium,"Loyalty, incentives & channel engagement.",
Auroch Solutions,https://aurochssolutions.com,Compass,,11-50,—,—,Sales Incentives,India,No,Channel & sales incentive solutions. India.,2015,India,Low,,
Award Incentive Group,https://www.awardincentivegroup.com,"Plum, Empuls",,11-50,—,—,All Rewards,USA,No,Incentive & award programs for US market.,2005,USA,Low,,
Award.co,https://www.award.co,Employee RnR,Empuls,201-500,—,$70M,Global,Active,No,$70M raised,2011,USA,High,Employee recognition. $70M raised.,
Axero Solutions,https://axerosolutions.com,Intranet,Empuls,11-50,—,—,USA,Active,No,,2008,USA,Low,SaaS intranet platform.,
B (b.co.uk),https://www.b.co.uk,Empuls,,11-50,—,—,Employee Benefits,Europe,No,Employee benefits platform. UK-focused.,2015,UK,Low,,
b4b Payments,https://www.b4bpayments.com,Prepaid Cards,Plum,51-200,$26.5M,—,Europe,Active,No,,2006,UK,Low,Prepaid card programs & payments.,
Beacon Payments,https://beaconpaymentprocessing.com,"Plum, Loyalife",,11-50,—,—,Gift Cards / Loyalty,USA,No,Merchant services incl. gift cards & loyalty programs.,2010,USA,Low,,
Beekeeper,https://www.beekeeper.io,Frontline App,Empuls,51-200,—,$146M,Global,Active,No,,2012,Switzerland,Low,Blue collar engagement app. $146M.,
Ben,https://www.thanksben.com,Benefits,Empuls,201-500,—,$21M,Europe,Active,No,$21M raised,2019,UK,Medium,Fringe & tax benefits. UK-focused.,
Benefex,https://hellobenefex.com,Benefits & RnR,Empuls,501-1000,$47.7M,$8.48M,Europe,Active,No,,2003,UK,Medium,Benefits & recognition. UK enterprise.,
BenefitFocus,https://www.benefitfocus.com,Benefits Admin,Empuls,1001-5000,$263M,$80M,USA,Active,No,,2000,USA,Low,Benefits administration & insurance.,
BenefitHub,https://www.benefithub.com,Perks/Benefits,Empuls,51-200,$895K,—,USA,Active,No,,1999,USA,Low,Employee perks & discount platform.,
Benepass,https://www.getbenepass.com,Flex Benefits,Empuls,51-200,—,$14.7M,USA,Active,Yes,$14.7M raised,2019,USA,Medium,AI flexible benefits wallet.,
Beneplace,https://bp.beneplace.com,Perks,Empuls,11-50,$7.3M,—,USA,Active,No,,1979,USA,Low,Employee perks & discounts. Texas.,
Benevity,https://benevity.com,CSR/Giving,Empuls,501-1000,$133M,$69.3M,Global,Active,No,,2008,Canada,Low,Employee giving & CSR platform.,
Benify,https://www.benify.com,Benefits Platform,Empuls,201-500,$80M,$7.24M,Europe,Active,No,,2004,Sweden,Medium,Employee benefits. Nordic leader.,
Benni,https://www.bennie.com,Insurance/Benefits,Empuls,201-500,—,$38M,Europe,Active,No,,2019,UK,Low,Insurance & employee benefits. UK.,
Beqom,https://www.beqom.com,Compensation Mgmt,Compass,201-500,$28.9M,$335M,Europe,Active,Yes,,2009,Switzerland,High,Comprehensive compensation platform. $335M.,
Berkeley Payment,https://berkeleypayment.com,Prepaid Cards,Plum,11-50,$11.2M,—,Canada,Active,No,,2005,Canada,Low,Prepaid card & disbursement solutions.,
Best Companies Group,https://bestcompaniesgroup.com,Empuls,,51-200,—,—,Employee Surveys,USA,No,Best places to work surveys & employer recognition programs.,2004,USA,Low,,
BI Worldwide,https://www.biworldwide.com,Channel Loyalty,"Loyalife,Empuls,Compass",1001-5000,$350M,—,Global,Active,No,,1950,USA,High,Full-stack loyalty & incentives globally.,
Bigcity,http://www.bigcity.in,Loyalty,Loyalife,51-200,—,—,India,Active,No,,2009,India,Low,B2B loyalty platform. India-focused.,
Bigg Loyalty,https://www.biggloyalty.com,Loyalife,,11-50,—,—,Loyalty Platform,Europe,No,White-label loyalty platform for brands & retailers.,2015,UK,Low,,
Blackhawk Network,https://www.bhnetwork.com,Gift Cards,Plum,3000+,$2B+,PE-backed,Global,Active,No,,2001,USA,High,Global leader gift card distribution.,
Blink,https://app.joinblink.com,Blue Collar App,Empuls,51-200,—,—,Global,Active,No,,2015,UK,Low,Frontline employee communication app.,
Blitzrocks,https://www.blitzrocks.com,Compass,,51-200,—,—,Sales Gamification,USA,No,Sales performance & gamification platform.,2018,USA,Low,,
Blu Loyalty,https://bluloyalty.com,Loyalife,,11-50,—,—,Loyalty,MEA,No,Digital loyalty solutions for retailers. Dubai.,2018,UAE,Low,,
Bon Loyalty,https://bonloyalty.com,Loyalife,,11-50,—,—,Loyalty SMB,Global,No,Loyalty program software for small & medium enterprises.,2021,—,Low,,
Bond Brand Loyalty,https://www.bondbrandloyalty.com,Brand Loyalty,Loyalife,501-1000,$115.3M,—,Canada,Active,No,,1980,Canada,Medium,Loyalty consulting & managed programs.,
Bonfyre,https://bonfyreapp.com,Employee Engagement,Empuls,11-50,$9.2M,$7.17M,USA,Active,No,,2012,USA,Low,Employee engagement & recognition.,
Bonsella,https://www.bonsella.com,Loyalife,,11-50,—,—,Loyalty,Global,No,Loyalty & rewards platform for businesses.,2003,—,Low,,
Bonusly,https://bonus.ly,Employee RnR,Empuls,51-200,$17.4M,$47M,Global,Active,Yes,$24M Series B,2012,USA,High,Peer recognition with AI insights. $47M.,
Boomerangme,https://www.boomerangme.biz,Loyalife,,11-50,—,$400K,Digital Loyalty,Global,No,Digital loyalty card platform for small businesses.,2017,—,Low,,
Boostworks,https://boostworks.co.uk,Perks & RnR,Empuls,51-200,$2.4M,—,Europe,Active,No,,2002,UK,Low,Employee perks & recognition. UK.,
Brainshark,http://Brainshark.com,Sales Enablement,Compass,51-200,—,$20.9M,USA,Active,No,,1999,USA,Low,Sales coaching & enablement platform.,
Brierley,https://www.brierley.com,Loyalty Platform,Loyalife,51-200,—,—,USA,Acquired,No,,1985,USA,Low,Acquired by Capillary. Loyalty platform.,
Bucketlist,https://bucketlistrewards.com,Employee RnR,Empuls,11-50,$15.3M,—,Canada,Active,No,,2015,Canada,Medium,Experience-based employee rewards.,
Cadooz,https://www.cadooz.com,Reward Marketplace,"Plum,Loyalife",51-200,$29.5M,—,Europe,Active,No,,2000,Germany,Medium,Gift cards & reward marketplace. EU.,
Calperks,https://calperks.net,Empuls,,11-50,—,—,Perks / Discounts,USA,No,Employee perks & discount network. California-based.,2005,USA,Low,,
Calusa Marketing,https://www.calusamarketing.com,Reward Marketplace,Plum,11-50,—,—,USA,Active,No,,2015,USA,Low,Boutique reward marketplace programs.,
Capillary Technologies,https://www.capillarytech.com,SaaS Loyalty,Loyalife,501-1000,$210M,$239M,Global,Active,Yes,$45M Series D,2008,India,High,Leading SaaS loyalty. Critical competitor.,
CaptivateIQ,https://www.captivateiq.com,Sales Commission,Compass,201-500,$44.7M,$165M,Global,Active,Yes,$100M Series C,2017,USA,High,Modern sales comp. Fast-growing. $165M.,
Care.com Lifemart,https://www.care.com/lifemart,Empuls,,11-50,—,—,Perks & Discounts,USA,No,Employee perks & discount marketplace via Care.com.,2010,USA,Low,,
Cashort,https://www.cashort.com,RnR/LSA,Empuls,51-200,$24.2M,—,USA,Active,No,,1937,USA,Low,Lifestyle spending & recognition awards.,
Cashwave,https://cashwave.com,Digital Rewards,"Plum,Empuls",11-50,—,—,Europe,Active,No,,2012,Bulgaria,Low,Digital rewards & corporate perks.,
Cellarstone,https://www.cellarstone.com,Sales Commission,Compass,51-200,$1.04M,—,USA,Active,No,,2000,USA,Low,Sales compensation management.,
Centrical,https://centrical.com,Gamification/LMS,"Empuls,Compass",51-200,$26.7M,$45M,Global,Active,Yes,,2013,USA,Medium,"Gamification, LMS & performance.",
Channel Assist,https://www.channelassist.com,Channel Incentives,Compass,51-200,—,—,Canada,Active,No,,2002,Canada,Medium,Channel partner incentive management.,
Channel Mechanics,https://channelmechanics.com,Channel Incentives,Compass,51-200,$11.3M,$2.3M,Europe,Active,No,,2011,Ireland,Medium,Channel partner incentive & enablement.,
Channelfusion,https://www.channel-fusion.com,Channel Loyalty,"Loyalife,Compass",51-200,$28.3M,—,USA,Active,No,,2002,USA,Medium,Channel loyalty programs.,
Cheetah Digital,https://www.cheetahdigital.com,Loyalty/CRM,Loyalife,1001-5000,$271M,—,Global,Acquired,No,,2017,USA,Medium,Now Marigold. Enterprise loyalty & CRM.,
Claromentis,https://www.claromentis.com,Empuls,,11-50,—,—,Intranet,Europe,No,Employee intranet & digital workplace platform. UK.,2001,UK,Low,,
Clever Cards,https://clevercards.com,Gift Cards,Plum,51-200,—,$20.7M,Europe,Active,No,,2011,Ireland,Low,Digital gift cards with Apple/Google Pay.,
cloud9living,https://www.cloud9living.com,Experience Gifts,Plum,51-200,$6M,—,USA,Active,No,,2005,USA,Low,Experience gifts & activity rewards.,
CloudApps,https://www.cloudapps.com,Compass,,11-50,$2.5M,—,Sales Gamification,Europe,No,Salesforce-native sales gamification & motivation.,2009,UK,Low,,
Clove & Twine,https://www.cloveandtwine.com,Swag & Merch,Plum,11-50,$5.1M,—,USA,Active,No,,2016,USA,Low,Custom branded swag & gifting.,
Cobee,https://cobee.io,Benefits/Perks,Empuls,51-200,$16.8M,$61.5M,Europe,Active,No,$61.5M raised,2019,Spain,Medium,Benefits & perks. Southern Europe.,
Codapay,https://www.codapayments.com,Gaming Payments,Plum,201-500,—,$25M,APAC,Active,No,,2011,Singapore,Low,Gaming payments & micropayments SEA.,
CodeBroker,https://codebroker.com,Mobile Coupons,Plum,10-20,$7M,—,USA,Active,No,,2008,USA,Low,Secure mobile coupon distribution.,
Collinson,https://www.collinsongroup.com,Loyalty/Travel,Loyalife,1001-5000,$1.37B,—,Global,Active,No,,1985,UK,High,Loyalty & travel customer engagement.,
Comarch,https://www.comarch.com,AI Loyalty,Loyalife,5001-10000,$1.1B,Public,Europe,Active,Yes,,1993,Poland,High,AI loyalty management platform. Listed.,
Commissionly,https://www.commissionly.io,Sales Commission,Compass,2-10,$490K,—,Europe,Active,No,,2017,UK,Low,ISO commission tracking platform.,
Como Sense,https://www.comosense.com,Loyalty/CRM,Loyalife,51-200,—,—,Global,Active,No,,2005,Israel,Medium,Customer loyalty platform for businesses.,
Compt.io,https://www.compt.io,Benefits,Empuls,11-50,$3.4M,$17M,USA,Active,No,,2018,USA,Low,Lifestyle spending accounts & benefits.,
Concept 2 live biz (C2LBIZ),https://c2lbiz.com/,Benefits/Compass,Empuls ,201-500 ,$15M,—,Global,Active,No,,2010,India ,Low,"Insurance-focused digital distribution platform serving 40+ insurance carriers across 12 countries. Strong in insurance sales automation, distribution management, commissions, and partner onboarding.",
Connecteam,https://connecteam.com,Blue Collar App,Empuls,201-500,—,$120M,Global,Active,No,,2014,Israel,Low,Frontline worker engagement. $120M.,
Cooleaf,https://www.cooleaf.com,Employee Engagement,Empuls,11-50,$2.6M,$400K,USA,Active,No,,2012,USA,Low,"Culture, wellness & employee rewards.",
Coopn,https://coopn.aldmic.com,Loyalife,,51-200,—,—,Loyalty / Coupons,APAC,No,Digital coupon & loyalty platform. Japan market.,2015,Japan,Low,,
CouponTools,https://www.coupontools.com,Digital Coupons,Plum,20-50,$15M,—,Europe,Active,No,,2013,Belgium,Low,Digital coupon platform for eCommerce.,
Covver.io,https://www.covver.io,Swag & Merch,Plum,11-50,—,—,Global,Active,No,,2018,Israel,Low,On-demand branded swag globally.,
Crew,https://www.crewapp.com,Blue Collar App,Empuls,11-50,$22.9M,$58M,USA,Active,No,,2015,USA,Low,Frontline team communication. $58M.,
Crewhu,https://www.crewhu.com,Feedback/Rewards,Empuls,11-50,$703.5K,—,USA,Active,No,,2013,USA,Low,Team feedback & recognition.,
CRM Gamified,https://crmgamified.com,Compass,,11-50,—,—,Sales Gamification,Americas,No,CRM leaderboards & gamification for sales teams.,2012,Argentina,Low,,
CTS Systems,https://ctssystems.com,Compass,,11-50,—,—,Sales Incentives,USA,No,Channel & sales technology systems.,2005,USA,Low,,
Culture Monkey,https://www.culturemonkey.io,Surveys,Empuls,11-50,—,—,India,Active,No,,2020,India,Low,Employee engagement & feedback. India.,
CultureAmp,https://www.cultureamp.com,Employee Experience,Empuls,1001-5000,$168M,$378M,Global,Active,Yes,,2010,Australia,Medium,Leading employee engagement platform.,
Customer Capital,https://www.customer-capital.com,Loyalife,,11-50,—,—,Loyalty Consulting,Europe,No,Loyalty strategy & program consulting firm. UK.,2010,UK,Low,,
CustomInsight,https://www.custominsight.com,Empuls,,11-50,$603K,—,Employee Surveys,USA,No,Employee engagement & 360 feedback surveys.,1998,USA,Low,,
CX Loyalty,https://www.cxloyalty.com,Loyalty,Loyalife,51-200,—,—,APAC,Active,No,,2014,Singapore,Medium,Loyalty programs. APAC focus.,
Dacadoo,https://www.dacadoo.com,Loyalife,,51-200,$1.58M,$7.1M,Insurance / Wellness Loyalty,Europe,Yes,AI health engagement & wellness loyalty for insurers.,2010,Switzerland,Low,,
DailyPay,https://www.dailypay.com,Empuls,,201-500,—,$830M,Earned Wage Access,USA,No,Earned wage access & financial wellness. $830M raised.,2015,USA,Low,,
Darwin (Mercer),https://www.mercer.com,Total Rewards,Empuls,1001-5000,—,—,Global,Active,No,,2000,UK,Low,Total rewards & benefits. Mercer-owned.,
Dash Solutions,https://dashsolutions.com,All Rewards,"Plum,Empuls,Compass",51-200,$630K,—,USA,Active,No,,2010,USA,Medium,Formerly WorkStride. Full rewards stack.,
DecisionWise,https://decision-wise.com,Empuls,,51-200,—,—,Employee Surveys,USA,No,Employee engagement surveys & leadership 360 assessments.,1996,USA,Low,,
Decusoft,https://www.decusoft.com,Compensation,Compass,51-200,—,—,USA,Active,No,,2002,USA,Low,Compensation planning software.,
Deputy,https://www.deputy.com,Blue Collar App,Empuls,501-1000,$73.6M,$106M,APAC,Active,No,,2008,Australia,Low,Workforce management & scheduling.,
Direxions,https://direxions.com,Loyalty Consulting,Loyalife,51-200,—,—,India,Active,No,,1989,India,Low,Consumer & channel loyalty consulting.,
Don't Pay Full,https://www.dontpayfull.com,Coupons,Plum,11-50,—,—,USA,Active,No,,2012,USA,Low,Online coupon & promo code aggregator.,
Dots Dev,https://dots.dev,Payouts API,Plum,11-50,—,$125K,Global,Active,No,,2020,USA,Low,Developer-friendly payout infrastructure.,
Drop,https://www.earnwithdrop.com,Card-linked Offers,Loyalife,51-200,$21M,$56.2M,Canada,Active,No,,2015,Canada,Low,Card-linked rewards & offers app.,
DT One,https://dtone.com,Micropayments,Plum,201-500,$45M,$15M,APAC,Active,No,,2015,Singapore,Low,Non-cash micropayments & digital rewards.,
Dynamic Signal,https://www.firstup.io,Employee Comms,Empuls,201-500,$8.3M,$120M,USA,Active,No,,2008,USA,Low,Employee communications platform.,
Each Person,https://www.eachperson.com,Employee RnR,Empuls,11-50,—,—,Europe,Active,No,,2017,UK,Low,"Recognition, benefits & perks. UK.",
Eagle Eye,https://eagleeye.com,Digital Marketing,"Plum,Loyalife",100-200,$43.1M,Public,Europe,Active,Yes,,2003,UK,High,Publicly traded. AI real-time offers.,
EasyRewardz,https://www.easyrewardz.com,Loyalty Software,Loyalife,51-200,$5.7M,$11.3M,India,Active,No,,2011,India,Medium,Loyalty software for retail & finance.,
Ebbo,https://www.ebbo.com,Loyalife,,51-200,—,—,Loyalty SaaS,USA,No,SaaS loyalty program for retail & financial services.,2008,USA,Low,,
EBC Flex,https://www.ebcflex.com,Empuls,,51-200,—,—,Benefits Administration,USA,No,"Benefits admin incl. FSA, HSA & cafeteria plans.",1989,USA,Low,,
Eber,https://eber.co,Loyalife,,11-50,—,—,Loyalty / CRM,APAC,No,Customer loyalty & engagement platform. Singapore.,2015,Singapore,Low,,
Edenred,https://edenred.co.in,Employee Benefits,"Plum,Empuls,Loyalife",10000+,$7.1B+,Public,Global,Active,No,,1962,France,High,Global benefits leader. Euronext listed.,
Edgepri,https://www.edgepri.com,Consumer Rewards,Plum,51-200,—,—,APAC,Acquired,No,,2006,Australia,Low,Acquired by Blackhawk Network.,
eGifter,https://egifterrewards.com,Gift Cards,Plum,11-50,$2.8M,—,USA,Active,No,,2011,USA,Low,Gift cards & prepaid for incentives.,
Ekoapp,https://www.ekoapp.com,Blue Collar App,Empuls,51-200,$13.2M,$28.7M,APAC,Active,No,,2011,Thailand,Low,Blue collar & retail workforce app.,
Elate,https://www.teamelate.com,OKR/Engagement,Empuls,11-50,$3.8M,—,USA,Active,No,,2019,USA,Low,OKR & employee engagement platform.,
EmPerform,https://employee-performance.com,Empuls,,51-200,$18M,—,Performance / Surveys,USA,No,Employee performance management & surveys platform.,2004,USA,Low,,
Empower Points,https://empowerpoints.com,Empuls,,11-50,—,—,Employee RnR,USA,No,Points-based employee recognition & rewards platform.,2010,USA,Low,,
Energage,https://www.energage.com,Surveys,Empuls,51-200,$27.6M,$15M,USA,Active,No,,2006,USA,Low,Employee surveys & employer branding.,
Enerjoy,https://www.enerjoy.co,"Compass, Empuls",,11-50,—,$3M,Sales Gamification,MEA,Yes,AI nudge-based sales motivation & gamification. Israel/MEA.,2016,Israel,Medium,,
Engagedly,https://engagedly.com,Full Engagement,Empuls,51-200,$19.3M,—,Global,Active,Yes,,2015,USA,Medium,"Performance, learning & recognition.",
Engagewith,https://www.springworks.in,Employee Engagement,Empuls,51-200,—,$1.3M,India,Active,No,,2014,India,Low,Slack-based recognition & engagement.,
EnKash,https://enkash.in,Prepaid/Expense,"Plum,Empuls",51-200,$24.1M,$21.5M,India,Active,Yes,$21.5M raised,2018,India,Medium,AI corporate cards & spend management.,
Ennova,https://www.ennova.com,Empuls,,51-200,—,—,Employee Surveys,Europe,No,Employee engagement surveys & analytics. Nordics.,2000,Denmark,Low,,
Entomo,https://entomo.co,HR Analytics,Empuls,201-500,—,—,APAC,Active,Yes,,2008,Singapore,Medium,People analytics & performance mgmt.,
Eonx,https://eonx.com,Payments/Loyalty,"Plum,Loyalife",51-200,—,—,APAC,Active,No,,2014,Australia,Medium,"Payments, offers, loyalty & rewards.",
Epipoli,—,Gift Cards,Plum,51-200,$11.4M,—,Europe,Active,No,,2004,Italy,Low,Gift card & prepaid. Italian market.,
Epoch App,https://www.epochapp.com,Empuls,,11-50,$4.9M,$3.63M,Intranet / Events,USA,No,"Employee intranet, events & onboarding platform.",2016,USA,Low,,
Epsilon,https://www.epsilon.com,Data Loyalty,Loyalife,5001-10000,—,Publicis,Global,Acquired,Yes,,1969,USA,Medium,Publicis-owned. Data-driven loyalty.,
Espresa,https://www.espresa.com,Benefits/ERG,Empuls,51-200,$12M,$36.4M,USA,Active,No,,2015,USA,Low,Employee resource groups & benefits.,
ETS,https://etsplc.com,Empuls,,51-200,—,—,Employee Surveys,Europe,No,"Employee surveys, talent mgmt & leadership development.",1988,UK,Low,,
EvaBot,https://www.evabot.com,AI Gifting,Plum,11-50,$5.5M,$11.6M,USA,Active,Yes,,2017,USA,Medium,AI personalized corporate gifting.,
Everstage,https://www.everstage.com,Sales Commission,Compass,51-200,$12.5M,$45M,Global,Active,Yes,$30M Series B,2020,India,High,Direct Compass rival. India-origin. $45M.,
Exchange Solutions,https://www.exchangesolutions.com,Loyalife,,51-200,—,—,Loyalty Platform,Canada,Yes,AI-driven loyalty programs for retail & financial services.,2000,Canada,Medium,,
Exo Platform,https://www.exoplatform.com,Empuls,,51-200,—,$7.2M,Social Intranet,Europe,No,Social intranet & employee recognition platform.,2003,France,Low,,
Extu,https://www.extu.com,Channel Loyalty,"Loyalife,Compass",51-200,$22M,—,USA,Active,No,,2000,USA,Medium,Channel loyalty programs.,
Fidel API,https://www.fidelapi.com,Card-linked API,Loyalife,51-200,$19.5M,$88M,Global,Active,Yes,$65M Series B,2018,UK,Medium,Card-linking API for loyalty. $88M raised.,
Fielo,http://fielo.com,Channel Incentives,Compass,11-50,$4.8M,$7M,Americas,Active,No,,2012,Brazil,Medium,Salesforce-native channel incentives.,
Fiserv,https://www.fiserv.com,Payments,Plum,10000+,$19.1B,$1B+,Global,Active,No,,1984,USA,Low,Global payments giant. Owns Gyft.,
Five Stars,https://www.fivestars.com,Loyalty/Marketing,Loyalife,201-500,—,—,USA,Active,No,,2011,USA,Low,Customer loyalty & marketing automation.,
Flaunt Loyalty,https://www.flauntloyalty.com,Loyalife,,11-50,$18M,$1.8M,Loyalty,Global,No,Loyalty program platform for businesses.,2015,—,Low,,
Flex Surveys,https://www.flexsurveys.com,Empuls,,11-50,—,—,Employee Surveys,USA,No,Flexible employee survey tools.,2010,USA,Low,,
Fond (Reward Gateway),https://fond.co,Perks/Recognition,Empuls,51-200,$7.8M,$25.9M,USA,Acquired,No,,2012,USA,Low,Acquired by Reward Gateway 2022.,
Forma,https://www.joinforma.com,Lifestyle Benefits,Empuls,201-500,$15M,$105M,USA,Active,Yes,$105M raised,2017,USA,High,AI lifestyle benefits platform. $105M.,
Freed Group,https://www.freedgrouptech.com,Reward Marketplace,Plum,201-500,—,$15M,APAC,Active,No,,2014,Hong Kong,Low,Marketplace for rewards in APAC.,
Fringe,https://www.hellofringe.co,Lifestyle Benefits,Empuls,11-50,$15.1M,$30M,USA,Active,No,$30M raised,2018,USA,Medium,Employee lifestyle benefits wallet.,
Froogal,https://www.froogal.ai,Loyalty SaaS,Loyalife,11-50,$637K,$1M,India,Active,Yes,,2018,India,Low,AI loyalty SaaS for India retail.,
Gameball,https://www.gameball.co,Gamification/Loyalty,Loyalife,51-200,$13M,$3.5M,Global,Active,Yes,,2018,USA,Medium,Consumer promotions & gamification.,
GenLoyal,https://www.genloyal.com,Loyalife,,2-10,—,—,Loyalty Mgmt,Global,No,Loyalty program management solutions for enterprises.,2018,—,Low,,
Gift and Go,https://giftandgo.com,Gift Cards,Plum,11-50,—,—,Europe,Active,No,,2017,UK,Low,Amazon-catalog style gift platform.,
Giftbit,https://www.giftbit.com,Gift Cards,Plum,11-50,$2.5M,$3.2M,Canada,Active,No,,2011,Canada,Low,Digital gift card bulk distribution API.,
Gifted,https://gifted.co,Gift Cards/Swag,Plum,11-50,—,—,USA,Active,No,,2016,USA,Low,Gift cards & swag for business use cases.,
Giftogram,https://www.giftogram.com,Gift Cards,Plum,11-50,$2.6M,—,USA,Active,No,,2012,USA,Low,Digital gift cards for employee rewards.,
GiftPack AI,https://giftpack.ai,AI Gifting,Plum,51-200,$2.7M,$4.3M,Global,Active,Yes,,2017,USA,Medium,AI matches gifts to recipient profiles.,
Giftsenda,https://www.giftsenda.com,Corp Gifting,Plum,11-50,—,—,Global,Active,No,,2017,USA,Low,International gifting. 200+ countries.,
Givingli,https://www.givingli.com,Corp Gifting,Plum,11-50,$1M,$17M,USA,Active,No,$17M raised,2019,USA,Low,Corporate & social gifting. $17M raised.,
Gleam,https://gleam.io,Consumer/Referrals,Loyalife,11-50,$1.1M,—,APAC,Active,No,,2013,Australia,Low,Consumer referral & loyalty platform.,
Glint (Microsoft),https://www.glintinc.com,Surveys,Empuls,11-50,$6.2M,$80M,Global,Acquired,Yes,,2013,USA,Medium,Acquired by LinkedIn/Microsoft.,
